#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         367    -0.29971   -0.467558  0.00992372
         368   -0.347253   -0.467231  0.00990213
         369   -0.353351   -0.466922  0.00988011
         370    -0.35739   -0.466626  0.00985784
         371   -0.399647   -0.466446  0.00983292
         372   -0.412817   -0.466302  0.00980755
         373   -0.387964   -0.466092   0.0097835
         374    -0.41068   -0.465944  0.00975846
         375   -0.369928   -0.465688   0.0097358
         376   -0.368749    -0.46543  0.00971332
         377   -0.359543   -0.465149  0.00969161
         378   -0.343736   -0.464828   0.0096713
         379   -0.337892   -0.464493  0.00965158
         380   -0.399803   -0.464322  0.00962768
         381   -0.393519   -0.464137   0.0096042
         382   -0.422531   -0.464028  0.00957968
         383   -0.406055   -0.463876  0.00955586
         384   -0.424578   -0.463774  0.00953152
         385   -0.385686   -0.463571  0.00950892
         386     -0.3835   -0.463364  0.00948655
         387    -0.38477   -0.463161  0.00946421
         388   -0.395298   -0.462986  0.00944144
         389   -0.372676   -0.462754  0.00942002
         390   -0.388376   -0.462563   0.0093978
         391   -0.375485    -0.46234   0.0093764
         392   -0.367176   -0.462097  0.00935562
         393   -0.364503   -0.461849  0.00933511
         394   -0.355174   -0.461578  0.00931534
         395   -0.367596    -0.46134   0.0092948
         396   -0.373053   -0.461117    0.009274
         397   -0.397528   -0.460957  0.00925202
         398    -0.40667   -0.460821  0.00922978
         399   -0.415211   -0.460707  0.00920736
         400   -0.391953   -0.460535  0.00918594
