#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         421    -5.73381    -5.92495   0.0100464
         422     -5.7246    -5.92447   0.0100338
         423    -5.71656    -5.92398   0.0100221
         424     -5.7312    -5.92352   0.0100088
         425    -5.73496    -5.92308  0.00999508
         426    -5.72786    -5.92262  0.00998212
         427    -5.70804    -5.92212  0.00997138
         428    -5.71413    -5.92163  0.00995992
         429    -5.70949    -5.92114  0.00994897
         430    -5.69152    -5.92061  0.00994016
         431    -5.68223    -5.92005  0.00993247
         432    -5.68437    -5.91951  0.00992445
         433    -5.69103    -5.91898  0.00991554
         434    -5.68684    -5.91844  0.00990711
         435    -5.67563    -5.91789  0.00990005
         436    -5.65729    -5.91729  0.00989537
         437    -5.64207    -5.91666  0.00989275
         438    -5.65039    -5.91605  0.00988882
         439    -5.64035    -5.91542  0.00988622
         440    -5.61659    -5.91474  0.00988705
         441    -5.61683    -5.91407  0.00988768
         442    -5.62752    -5.91342  0.00988654
         443    -5.61112    -5.91274  0.00988775
         444    -5.63799    -5.91212  0.00988482
         445     -5.6436    -5.91152  0.00988101
         446    -5.65742    -5.91095  0.00987527
         447    -5.65707    -5.91038  0.00986949
         448    -5.68486    -5.90987  0.00986029
         449    -5.69887     -5.9094  0.00984952
         450    -5.69222    -5.90892  0.00983945
         451    -5.67794    -5.90841  0.00983096
         452    -5.68405    -5.90791  0.00982173
         453    -5.68391    -5.90742  0.00981249
         454    -5.67695    -5.90691    0.009804
         455    -5.67661     -5.9064  0.00979551
         456    -5.65997    -5.90586  0.00978892
         457    -5.67658    -5.90536  0.00978035
         458     -5.6896    -5.90489  0.00977034
         459    -5.69357    -5.90443  0.00975989
         460    -5.68211    -5.90395  0.00975063
         461    -5.68349    -5.90347   0.0097412
         462    -5.68328    -5.90299  0.00973177
         463    -5.67641     -5.9025  0.00972305
         464    -5.65617    -5.90197  0.00971657
         465    -5.66394    -5.90146  0.00970915
         466    -5.66056    -5.90094  0.00970207
         467    -5.67228    -5.90045  0.00969364
         468    -5.66979    -5.89996  0.00968545
         469    -5.67219    -5.89948  0.00967697
         470    -5.68959    -5.89903  0.00966668
         471    -5.67809    -5.89856  0.00965753
         472    -5.66696    -5.89807  0.00964953
         473    -5.65967    -5.89757  0.00964228
         474     -5.6639    -5.89707  0.00963453
         475    -5.66086    -5.89658  0.00962707
         476    -5.66583    -5.89609  0.00961904
         477    -5.68639    -5.89565  0.00960892
