#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
          76     0.30303     0.30303           0
          77     0.30303     0.30303 4.24536e-10
          78     0.30303     0.30303  7.3059e-10
          79     0.30303     0.30303 4.19128e-10
          80     0.30303     0.30303  5.8902e-10
          81     0.30303     0.30303 5.85373e-10
          82     0.30303     0.30303 8.22779e-10
          83     0.30303     0.30303 5.78277e-10
          84     0.30303     0.30303 7.04014e-10
          85     0.30303     0.30303 8.08129e-10
          86     0.30303     0.30303 6.95779e-10
          87     0.30303     0.30303 7.98786e-10
          88     0.30303     0.30303 5.61609e-10
          89     0.30303     0.30303 9.67254e-10
          90     0.30303     0.30303 6.80142e-10
          91     0.30303     0.30303 6.76394e-10
          92     0.30303     0.30303 8.68463e-10
          93     0.30303     0.30303 8.63781e-10
          94     0.30303     0.30303 9.41178e-10
          95     0.30303     0.30303  8.5464e-10
          96     0.30303     0.30303 8.50177e-10
          97     0.30303     0.30303 1.00074e-09
          98     0.30303     0.30303  9.2177e-10
          99     0.30303     0.30303  5.2949e-10
         100     0.30303     0.30303 5.26836e-10
         101     0.30303     0.30303 5.24221e-10
         102     0.30303     0.30303 3.68859e-10
         103     0.30303     0.30303 7.34128e-10
         104     0.30303     0.30303 6.32709e-10
         105     0.30303     0.30303 7.27102e-10
         106     0.30303     0.30303 8.86304e-10
         107     0.30303     0.30303 8.82153e-10
         108     0.30303     0.30303 8.01555e-10
         109     0.30303     0.30303 8.74022e-10
         110     0.30303     0.30303 1.06558e-09
         111     0.30303     0.30303 1.06077e-09
         112     0.30303     0.30303 1.21939e-09
         113     0.30303     0.30303 1.26355e-09
         114     0.30303     0.30303   1.258e-09
         115     0.30303     0.30303 1.25251e-09
         116     0.30303     0.30303 1.29418e-09
         117     0.30303     0.30303 1.42001e-09
         118     0.30303     0.30303 1.37176e-09
         119     0.30303     0.30303 1.40803e-09
         120     0.30303     0.30303 1.40215e-09
         121     0.30303     0.30303  1.4762e-09
         122     0.30303     0.30303 1.47013e-09
         123     0.30303     0.30303  1.5755e-09
         124     0.30303     0.30303 1.56914e-09
         125     0.30303     0.30303 1.56285e-09
         126     0.30303     0.30303 1.62585e-09
         127     0.30303     0.30303 1.61944e-09
         128     0.30303     0.30303  1.6131e-09
         129     0.30303     0.30303 1.63997e-09
         130     0.30303     0.30303 1.63365e-09
         131     0.30303     0.30303 1.69124e-09
         132     0.30303     0.30303 1.68483e-09
         133     0.30303     0.30303 1.70928e-09
         134     0.30303     0.30303 1.76266e-09
         135     0.30303     0.30303  1.7266e-09
         136     0.30303     0.30303 1.74965e-09
         137     0.30303     0.30303 1.80042e-09
         138     0.30303     0.30303 1.79389e-09
         139     0.30303     0.30303 1.78742e-09
         140     0.30303     0.30303 1.78103e-09
         141     0.30303     0.30303  1.7747e-09
