#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         223    -5.48058    -5.58223  0.00822022
         224    -5.48078    -5.58178  0.00819599
         225     -5.4907    -5.58137  0.00816955
         226     -5.5158    -5.58108  0.00813855
         227    -5.54772    -5.58094  0.00810403
         228    -5.57566    -5.58091  0.00806852
         229    -5.59281    -5.58097  0.00803345
         230    -5.59933    -5.58105  0.00799892
         231    -5.59874    -5.58112  0.00796466
         232    -5.59416    -5.58118  0.00793053
         233    -5.59042    -5.58122  0.00789659
         234    -5.58279    -5.58122  0.00786285
         235    -5.57164    -5.58118  0.00782949
         236    -5.55655    -5.58108  0.00779701
         237    -5.53723    -5.58089  0.00776631
         238    -5.51851    -5.58063   0.0077381
         239    -5.50393    -5.58031  0.00771237
         240    -5.49557    -5.57996  0.00768832
         241    -5.49368     -5.5796  0.00766475
         242    -5.49942    -5.57927  0.00764023
         243    -5.51138    -5.57899   0.0076139
         244    -5.52228    -5.57876  0.00758624
         245    -5.53235    -5.57857  0.00755764
         246    -5.54142    -5.57842  0.00752843
         247    -5.54988     -5.5783  0.00749883
         248    -5.55768    -5.57822  0.00746906
         249    -5.56329    -5.57816   0.0074393
         250    -5.55841    -5.57808  0.00740996
         251    -5.54549    -5.57795  0.00738158
         252    -5.52657    -5.57775   0.0073551
         253    -5.51301    -5.57749  0.00733048
         254    -5.50835    -5.57722  0.00730667
         255    -5.50885    -5.57695  0.00728293
         256    -5.50842    -5.57668   0.0072594
         257    -5.50731    -5.57641  0.00723617
         258    -5.49977    -5.57611  0.00721422
         259    -5.48531    -5.57576  0.00719488
         260     -5.4679    -5.57535  0.00717916
         261    -5.45465    -5.57489  0.00716653
         262    -5.45676    -5.57444  0.00715335
         263    -5.47094    -5.57404  0.00713696
         264    -5.48979    -5.57372  0.00711706
         265    -5.50719    -5.57347  0.00709463
         266       -5.52    -5.57327  0.00707081
         267    -5.52505    -5.57309  0.00704663
         268    -5.52502    -5.57291  0.00702262
         269    -5.52343    -5.57273  0.00699892
         270    -5.52446    -5.57255  0.00697528
         271    -5.53277     -5.5724  0.00695109
         272    -5.55003    -5.57232  0.00692602
         273    -5.57059    -5.57231  0.00690065
         274    -5.59033    -5.57238  0.00687578
         275    -5.60164    -5.57249   0.0068516
         276    -5.59787    -5.57258   0.0068274
         277     -5.5786     -5.5726  0.00680278
         278    -5.54902    -5.57251  0.00677884
         279    -5.52058    -5.57233   0.0067571
         280    -5.50055    -5.57207  0.00673783
         281    -5.49131    -5.57178  0.00671998
         282    -5.49005    -5.57149   0.0067024
         283    -5.49321    -5.57122  0.00668442
         284    -5.49899    -5.57096  0.00666572
         285    -5.50698    -5.57074  0.00664611
         286    -5.51647    -5.57055  0.00662558
         287    -5.52245    -5.57038  0.00660461
         288    -5.51952     -5.5702  0.00658404
         289    -5.51259    -5.57001  0.00656428
         290    -5.51396    -5.56981  0.00654449
         291    -5.53511    -5.56969  0.00652308
         292    -5.55955    -5.56966  0.00650084
         293    -5.57512    -5.56968  0.00647867
         294    -5.57308    -5.56969  0.00645665
         295    -5.55882    -5.56965  0.00643487
         296     -5.5375    -5.56954  0.00641404
         297    -5.51509    -5.56936  0.00639507
         298    -5.49896    -5.56912  0.00637797
         299    -5.49474    -5.56887  0.00636149
         300    -5.49859    -5.56864   0.0063446
         301    -5.50656    -5.56843  0.00632687
         302    -5.51303    -5.56825  0.00630858
         303    -5.51444    -5.56807  0.00629026
         304    -5.51094    -5.56789  0.00627237
         305    -5.50433    -5.56768  0.00625527
         306    -5.50121    -5.56746   0.0062386
         307    -5.50595    -5.56726  0.00622149
         308    -5.51053    -5.56707  0.00620402
         309    -5.51178     -5.5669  0.00618652
         310    -5.50362    -5.56669  0.00616993
         311    -5.49971    -5.56648  0.00615385
         312    -5.50669    -5.56628  0.00613711
         313    -5.52302    -5.56615  0.00611906
         314    -5.53682    -5.56605  0.00610028
         315    -5.54125    -5.56597  0.00608143
         316     -5.5333    -5.56587  0.00606306
         317    -5.52264    -5.56573  0.00604547
         318    -5.51837    -5.56559  0.00602829
         319    -5.51944    -5.56544  0.00601113
         320    -5.52597    -5.56532  0.00599361
         321    -5.53196    -5.56521  0.00597584
         322    -5.53264    -5.56511  0.00595813
         323    -5.52437    -5.56499  0.00594102
         324    -5.50516     -5.5648  0.00592556
         325    -5.47888    -5.56454  0.00591322
         326     -5.4519    -5.56419  0.00590517
         327    -5.43394    -5.56379  0.00590053
         328    -5.43315     -5.5634  0.00589596
         329    -5.44387    -5.56303  0.00588923
         330    -5.46122    -5.56272  0.00587946
         331    -5.47817    -5.56247  0.00586724
         332    -5.49383    -5.56226  0.00585321
         333    -5.50469    -5.56209  0.00583819
         334    -5.50875    -5.56193  0.00582289
         335    -5.50424    -5.56176  0.00580805
         336    -5.49885    -5.56157  0.00579378
         337    -5.49561    -5.56137   0.0057799
         338    -5.49764    -5.56119  0.00576587
         339    -5.50474    -5.56102  0.00575127
         340    -5.51366    -5.56088  0.00573604
         341    -5.52092    -5.56076  0.00572041
         342    -5.52411    -5.56065  0.00570469
         343    -5.51877    -5.56053  0.00568937
         344    -5.51001    -5.56039  0.00567472
         345    -5.50522    -5.56023  0.00566053
         346    -5.50504    -5.56007  0.00564641
         347    -5.50562    -5.55991  0.00563232
         348    -5.50909    -5.55976  0.00561803
         349    -5.51248    -5.55963  0.00560357
         350    -5.51011    -5.55949  0.00558934
         351    -5.50068    -5.55932  0.00557593
         352     -5.4889    -5.55912  0.00556367
         353    -5.47753    -5.55889  0.00555271
         354    -5.47328    -5.55865  0.00554229
         355    -5.47864    -5.55842  0.00553126
         356    -5.49546    -5.55824  0.00551855
         357    -5.51868    -5.55813   0.0055042
         358    -5.54587     -5.5581  0.00548893
         359    -5.57186    -5.55814  0.00547378
         360    -5.58869    -5.55822  0.00545923
         361    -5.59194    -5.55832  0.00544491
         362    -5.58418    -5.55839  0.00543033
         363    -5.57185    -5.55842   0.0054155
         364    -5.56127    -5.55843  0.00540063
         365    -5.55463    -5.55842  0.00538584
         366    -5.55321    -5.55841  0.00537115
         367    -5.55701     -5.5584  0.00535651
         368    -5.56326    -5.55842  0.00534197
         369    -5.56104    -5.55842   0.0053275
         370    -5.54749    -5.55839  0.00531318
         371    -5.53399    -5.55833  0.00529927
         372    -5.53087    -5.55825  0.00528554
         373    -5.53458    -5.55819  0.00527175
         374    -5.54471    -5.55815  0.00525778
         375    -5.55988    -5.55816  0.00524376
         376    -5.57853    -5.55821  0.00523009
         377    -5.59828    -5.55832   0.0052173
         378    -5.61085    -5.55846  0.00520535
         379    -5.61307     -5.5586  0.00519361
         380    -5.60217    -5.55872  0.00518121
         381    -5.58253    -5.55878  0.00516798
         382    -5.55801    -5.55878  0.00515445
         383    -5.54093    -5.55873  0.00514121
         384    -5.53199    -5.55866  0.00512829
         385    -5.53234    -5.55859  0.00511543
         386    -5.53583    -5.55853  0.00510251
         387    -5.54198    -5.55849  0.00508951
         388    -5.55516    -5.55848   0.0050764
         389    -5.57893    -5.55854  0.00506362
         390     -5.6032    -5.55865  0.00505193
         391    -5.62242    -5.55881  0.00504164
         392    -5.62539    -5.55898  0.00503164
         393    -5.61633    -5.55913  0.00502095
         394    -5.60754    -5.55925  0.00500971
         395    -5.60547    -5.55937   0.0049984
         396    -5.60288    -5.55948  0.00498698
         397    -5.60177    -5.55959  0.00497556
         398    -5.60622     -5.5597  0.00496444
         399    -5.61155    -5.55983  0.00495369
         400    -5.61414    -5.55997  0.00494317
         401     -5.6099    -5.56009  0.00493241
         402    -5.59898    -5.56019  0.00492109
         403    -5.58644    -5.56025  0.00490931
         404    -5.57447    -5.56029  0.00489728
         405     -5.5689    -5.56031  0.00488524
         406    -5.56757    -5.56033  0.00487324
         407    -5.56757    -5.56035   0.0048613
         408    -5.56675    -5.56036  0.00484941
         409    -5.56473    -5.56037  0.00483756
         410    -5.56265    -5.56038  0.00482577
         411    -5.56127    -5.56038  0.00481403
         412    -5.56231    -5.56039  0.00480234
         413    -5.56465     -5.5604  0.00479073
         414      -5.572    -5.56042  0.00477924
         415    -5.58139    -5.56047  0.00476799
         416    -5.59174    -5.56055  0.00475712
         417    -5.60272    -5.56065  0.00474679
         418    -5.61537    -5.56078  0.00473723
         419    -5.63186    -5.56095  0.00472896
         420    -5.64221    -5.56114  0.00472166
         421     -5.6435    -5.56134   0.0047145
         422    -5.63338    -5.56151  0.00470641
         423    -5.61529    -5.56164  0.00469701
         424    -5.59566    -5.56172  0.00468661
         425    -5.57752    -5.56176  0.00467573
         426    -5.55951    -5.56175  0.00466476
         427    -5.54191     -5.5617  0.00465407
         428    -5.52596    -5.56162  0.00464394
         429     -5.5196    -5.56152  0.00463415
         430    -5.52546    -5.56144  0.00462413
         431    -5.53854    -5.56139  0.00461371
         432     -5.5513    -5.56136  0.00460309
         433    -5.55878    -5.56136  0.00459246
         434    -5.56071    -5.56135  0.00458188
         435    -5.55687    -5.56134  0.00457136
