#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
         282   0.0555556   0.0555556 3.23381e-10
         283   0.0555556   0.0555556  3.2281e-10
         284   0.0555556   0.0555556 3.22241e-10
         285   0.0555556   0.0555556 3.28694e-10
         286   0.0555556   0.0555556 3.28119e-10
         287   0.0555556   0.0555556 3.27547e-10
         288   0.0555556   0.0555556 3.26978e-10
         289   0.0555556   0.0555556 3.26411e-10
         290   0.0555556   0.0555556 3.21226e-10
         291   0.0555556   0.0555556 3.18341e-10
         292   0.0555556   0.0555556 3.13087e-10
         293   0.0555556   0.0555556 3.07781e-10
         294   0.0555556   0.0555556 3.02418e-10
         295   0.0555556   0.0555556 2.96995e-10
         296   0.0555556   0.0555556 2.96493e-10
         297   0.0555556   0.0555556 2.93517e-10
         298   0.0555556   0.0555556 2.88015e-10
         299   0.0555556   0.0555556 2.82443e-10
         300   0.0555556   0.0555556 2.76798e-10
         301   0.0555556   0.0555556 2.76337e-10
         302   0.0555556   0.0555556 2.73265e-10
         303   0.0555556   0.0555556 2.67515e-10
         304   0.0555556   0.0555556 2.61679e-10
         305   0.0555556   0.0555556 2.55749e-10
         306   0.0555556   0.0555556 2.55331e-10
         307   0.0555556   0.0555556 2.49311e-10
         308   0.0555556   0.0555556 2.46062e-10
         309   0.0555556   0.0555556 2.39882e-10
         310   0.0555556   0.0555556 2.39495e-10
         311   0.0555556   0.0555556 2.33205e-10
         312   0.0555556   0.0555556 2.26782e-10
         313   0.0555556   0.0555556 2.23339e-10
         314   0.0555556   0.0555556 2.22983e-10
         315   0.0555556   0.0555556 2.16356e-10
         316   0.0555556   0.0555556 2.09564e-10
         317   0.0555556   0.0555556 2.02589e-10
         318   0.0555556   0.0555556  2.0227e-10
         319   0.0555556   0.0555556 1.95105e-10
         320   0.0555556   0.0555556  1.9129e-10
         321   0.0555556   0.0555556 1.83782e-10
         322   0.0555556   0.0555556 1.83496e-10
         323   0.0555556   0.0555556 1.75731e-10
         324   0.0555556   0.0555556 1.63617e-10
         325   0.0555556   0.0555556 1.63365e-10
         326   0.0555556   0.0555556 1.58984e-10
         327   0.0555556   0.0555556 1.50154e-10
         328   0.0555556   0.0555556 1.49925e-10
         329   0.0555556   0.0555556 1.40615e-10
         330   0.0555556   0.0555556 1.30707e-10
