#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         248    -3.74924    -5.21962   0.0596065
         249    -3.65927    -5.21335   0.0596957
         250    -3.61376    -5.20695   0.0597988
         251    -3.54244    -5.20032   0.0599271
         252    -3.55452    -5.19379   0.0600441
         253    -3.53399    -5.18723   0.0601641
         254     -3.5181    -5.18066   0.0602851
         255    -3.53558    -5.17421   0.0603929
         256     -3.4954    -5.16765    0.060512
         257    -3.53089    -5.16128   0.0606107
         258    -3.45651    -5.15467   0.0607349
         259    -3.41155    -5.14794   0.0608722
         260    -3.43693    -5.14136   0.0609927
         261    -3.41012    -5.13473   0.0611187
         262    -3.45638    -5.12832   0.0612202
         263    -3.45807    -5.12197   0.0613159
         264    -3.42868    -5.11556   0.0614182
         265    -3.53644     -5.1096   0.0614748
         266    -3.41484    -5.10323    0.061573
         267    -3.42787    -5.09695   0.0616613
         268    -3.49443    -5.09097   0.0617205
         269    -3.45297    -5.08488   0.0617907
         270    -3.47847    -5.07893   0.0618476
         271    -3.40964    -5.07277   0.0619253
         272    -3.34977    -5.06644   0.0620208
         273    -3.44112    -5.06049   0.0620787
         274    -3.40497    -5.05444   0.0621455
         275     -3.3423    -5.04822   0.0622306
         276    -3.33868    -5.04202   0.0623126
         277    -3.28114    -5.03567   0.0624111
         278    -3.19283    -5.02904   0.0625376
         279    -3.24292    -5.02264   0.0626403
         280    -3.27024    -5.01638   0.0627285
         281    -3.33795     -5.0104    0.062789
         282    -3.39261    -5.00467   0.0628278
         283    -3.40707    -4.99902   0.0628589
         284    -3.44967    -4.99357   0.0628739
         285    -3.41548    -4.98803   0.0628966
         286    -3.48278    -4.98277   0.0628965
         287    -3.55015    -4.97778   0.0628752
         288     -3.6615     -4.9732   0.0628227
         289    -3.63061    -4.96856   0.0627769
         290    -3.56456    -4.96372   0.0627468
         291    -3.58193    -4.95897   0.0627106
         292    -3.57205    -4.95422   0.0626755
         293    -3.60979    -4.94963   0.0626293
         294    -3.56003     -4.9449   0.0625944
         295    -3.52983    -4.94011   0.0625657
         296    -3.60673     -4.9356   0.0625163
         297    -3.60689    -4.93113   0.0624657
         298    -3.56817    -4.92656   0.0624233
         299    -3.51611    -4.92184   0.0623925
         300    -3.50659    -4.91712   0.0623626
         301     -3.4999    -4.91241   0.0623329
         302    -3.56069    -4.90794    0.062287
         303    -3.59031    -4.90359    0.062233
         304    -3.61757    -4.89936   0.0621719
         305    -3.63462    -4.89521   0.0621062
         306     -3.6328    -4.89109   0.0620401
         307    -3.59851    -4.88688   0.0619808
         308    -3.69387      -4.883   0.0619004
         309     -3.6783     -4.8791   0.0618228
         310    -3.65464    -4.87515   0.0617494
         311    -3.66812    -4.87127   0.0616727
         312    -3.77175    -4.86775   0.0615756
         313    -3.70808    -4.86404   0.0614903
         314     -3.7223    -4.86041   0.0614018
         315    -3.68851    -4.85669   0.0613195
         316    -3.73788    -4.85315   0.0612276
         317    -3.70268    -4.84952   0.0611419
         318    -3.67357    -4.84582   0.0610614
         319    -3.67522    -4.84215   0.0609801
         320    -3.65243    -4.83843   0.0609028
         321    -3.70934    -4.83491   0.0608146
         322    -3.75996    -4.83158   0.0607172
         323    -3.73748    -4.82819   0.0606237
         324    -3.64885    -4.82455   0.0605457
         325    -3.68067    -4.82103   0.0604617
         326    -3.71516    -4.81764   0.0603713
         327    -3.73014    -4.81431   0.0602782
         328    -3.67863    -4.81085   0.0601938
         329    -3.70875     -4.8075    0.060104
         330    -3.65479    -4.80401   0.0600232
         331    -3.60127    -4.80037   0.0599518
         332    -3.62367    -4.79683   0.0598759
         333    -3.60155    -4.79324   0.0598036
         334    -3.64926    -4.78981   0.0597225
         335    -3.62022    -4.78632   0.0596462
         336     -3.6131    -4.78283   0.0595708
         337    -3.55448    -4.77919   0.0595054
         338    -3.51667    -4.77545   0.0594465
         339    -3.51407    -4.77173   0.0593875
         340    -3.48228    -4.76794   0.0593338
         341    -3.46438    -4.76411   0.0592828
         342    -3.54123    -4.76054   0.0592172
         343    -3.35572    -4.75644    0.059186
         344    -3.26183     -4.7521   0.0591732
         345      -3.211    -4.74763   0.0591701
         346    -3.15854    -4.74304    0.059177
         347    -3.07722    -4.73824   0.0592009
         348    -3.14908    -4.73367   0.0592066
         349    -3.09039    -4.72896   0.0592239
         350    -3.17383    -4.72452   0.0592212
         351    -3.16104    -4.72006   0.0592197
         352    -3.21296    -4.71578   0.0592061
         353    -3.25436    -4.71164   0.0591829
         354    -3.31454     -4.7077   0.0591472
         355    -3.32069    -4.70379   0.0591095
         356    -3.43516    -4.70023   0.0590507
         357    -3.42732    -4.69666   0.0589929
         358    -3.49125    -4.69329   0.0589241
         359    -3.43387    -4.68979   0.0588643
         360    -3.45318    -4.68635   0.0588009
         361    -3.45158    -4.68293   0.0587374
         362    -3.47322    -4.67959   0.0586702
         363    -3.41273     -4.6761   0.0586123
         364    -3.45378    -4.67274   0.0585473
         365    -3.41064    -4.66928    0.058489
         366    -3.47885    -4.66603   0.0584195
         367    -3.47208    -4.66278   0.0583509
         368    -3.44133    -4.65946   0.0582866
         369    -3.45121    -4.65618   0.0582206
         370    -3.43254    -4.65288   0.0581571
         371    -3.44281    -4.64961   0.0580917
         372      -3.471    -4.64645   0.0580219
         373    -3.47447     -4.6433   0.0579513
         374    -3.45754    -4.64013    0.057883
         375    -3.41702    -4.63687   0.0578205
         376    -3.38504    -4.63354   0.0577625
         377    -3.37379     -4.6302   0.0577059
         378    -3.46001     -4.6271   0.0576362
         379    -3.44577    -4.62399   0.0575683
         380    -3.44867    -4.62089   0.0574999
         381    -3.39069    -4.61767   0.0574395
         382    -3.32735    -4.61429   0.0573884
         383    -3.40791    -4.61114   0.0573249
         384    -3.33384    -4.60781   0.0572721
         385    -3.32654    -4.60448   0.0572199
         386    -3.34363    -4.60122   0.0571648
         387    -3.38521    -4.59808   0.0571034
         388    -3.33519    -4.59482   0.0570489
         389    -3.38436    -4.59171   0.0569871
         390     -3.4168     -4.5887   0.0569205
         391    -3.31537    -4.58544    0.056868
         392    -3.25504    -4.58205   0.0568241
         393    -3.27051    -4.57871   0.0567775
         394    -3.29301    -4.57545   0.0567271
         395    -3.29377     -4.5722   0.0566762
         396    -3.28421    -4.56895   0.0566263
         397     -3.2873    -4.56572   0.0565756
         398    -3.27946    -4.56249   0.0565257
         399    -3.26117    -4.55923    0.056478
         400     -3.2544    -4.55596    0.056431
         401    -3.20744     -4.5526   0.0563904
         402    -3.33893    -4.54958   0.0563308
         403    -3.22281    -4.54629   0.0562872
         404     -3.1452    -4.54282   0.0562546
         405    -3.13114    -4.53934   0.0562236
         406     -3.1915    -4.53602    0.056183
         407    -3.20596    -4.53275   0.0561399
         408    -3.13941    -4.52933   0.0561061
         409    -3.19013    -4.52606   0.0560644
         410    -3.18667    -4.52279   0.0560228
         411    -3.25766    -4.51971    0.055971
         412    -3.20003    -4.51651   0.0559267
         413    -3.26456    -4.51348   0.0558734
         414    -3.27024    -4.51048    0.055819
         415    -3.29243    -4.50754   0.0557617
         416    -3.27906    -4.50459   0.0557058
         417    -3.31958    -4.50175   0.0556446
         418    -3.29111    -4.49885   0.0555868
         419    -3.36185    -4.49614   0.0555203
         420    -3.36364    -4.49344   0.0554536
         421    -3.39456    -4.49083   0.0553833
         422    -3.34867    -4.48812   0.0553181
         423    -3.31667    -4.48535   0.0552566
         424    -3.37887    -4.48275   0.0551879
         425    -3.38687    -4.48017   0.0551182
         426    -3.35395    -4.47752   0.0550522
         427    -3.25135    -4.47465   0.0549981
         428    -3.25777    -4.47181   0.0549431
         429    -3.22794    -4.46891   0.0548914
         430    -3.14001    -4.46582   0.0548507
